Original,English,Vietnamese,Type
李野,Li Ye,Lý Dã,name
杨峰,Yang Feng,Dương Phong,name
于飞,Yu Fei,Vu Phi,name
范杰,Fan Jie,Phạm Kiệt,name
刘广胜,Liu Guangsheng,Lưu Quảng Thắng,name
史翔,Shi Xiang,Sử Tường,name
谢越,Xie Yue,Tạ Việt,name
邓威,Deng Wei,Đặng Uy,name
慕容开信,Murong Kaixin,Mộ Dung Khai Tín,name
符文博,Fu Wenbo,Phù Văn Bác,name
余海,Yu Hai,Dư Hải,name
怀义,Huai Yi,Hoài Nghĩa,name
夏国,Xia State,Hạ Quốc,location
楚国,Chu State,Sở Quốc,location
花果坞,Huaguowu,Thung lũng Hoa Quả,location
鹤峰山,Hefeng Mountain,Hạc Phong Sơn,location
苍松岭,Cangsong Ridge,Thương Tùng Lĩnh,location
捉妖办,Monster Catching Office,Văn Phòng Trừ Yêu,organization
赤炎教,Crimson Flame Sect,Xích Viêm Giáo,organization
天道盟,Heavenly Dao Alliance,Thiên Đạo Minh,organization
银河联邦,Galactic Federation,Liên Bang Ngân Hà,organization
雪松派,Snow Pine Sect,Tuyết Tùng Phái,organization
时空行者,Time-space Walker,Thời Không Hành Giả,term
妖物,Monster Remains,Yêu Vật,term
捉妖人,Monster Catcher,Tróc Yêu Nhân,term
龙皇诀,Dragon Emperor Formula,Long Hoàng Quyết,term
及时雨,Timely Rain,Cập Thời Vũ,term
第三宇宙速度,Third Cosmic Velocity,Vận tốc vũ trụ cấp 3,term
空间跳跃,Space Jump,Bước nhảy không gian,term
黄金,Gold,Hoàng Kim,currency
钱云飞,,Tiền Vân Phi,name
徐鹏,,Từ Bằng,name
蔡俊,,Thái Tuấn,name
余强,,Dư Cường,name
老胡,,Lão Hồ,name
乐子人俱乐部,Fun-seekers Club,Câu Lạc Bộ Lạc Tử Nhân,organization
大宗师,Grandmaster,Đại Tông Sư,term
先天,Xiantian,Tiên Thiên,term
七迭劲,,Thất Điệp Kình,term
内力,Internal Power,Nội Lực,term
灵力,Spiritual Power,Linh Lực,term
星盗,Star Pirate,Tinh Đạo,term
衍生技,Derivative Skill,Diễn Sinh Kỹ,term
百炼刀,,Bách Luyện Đao,term
4—3—3阵形,4-3-3 Formation,4-3-3 Trận Hình,other
朱高杰,Zhu Gaojie,Chu Cao Kiệt,name
袁玲,Yuan Ling,Viên Linh,name
江生,Jiang Sheng,Giang Sinh,name
公孙杰,Gongsun Jie,Công Tôn Kiệt,name
曹斌,Cao Bin,Tào Bân,name
温子谦,Wen Ziqian,Ôn Tử Khiêm,name
贺子凡,He Zifan,Hạ Tử Phàm,name
飞升俱乐部,Ascension Club,Câu Lạc Bộ Phi Thăng,organization
飞熊帮,Flying Bear Gang,Phi Hùng Bang,organization
玄光宗,Xuanguang Sect,Huyền Quang Tông,organization
巡察司,Inspection Bureau,Tuần Sát Ty,organization
灯仙教,Lantern Immortal Cult,Đăng Tiên Giáo,organization
威宁城,Weining City,Uy Ninh Thành,location
威宁府,Weining Prefecture,Uy Ninh Phủ,location
天狼谷,Heavenly Wolf Valley,Thiên Lang Cốc,location
红楼坞,Honglou Dock,Hồng Lâu Ổ,location
镇妖塔,Demon Suppression Tower,Trấn Yêu Tháp,location
玄光心法,Xuanguang Mental Method,Huyền Quang Tâm Pháp,term
灯神功,Lantern Divine Art,Đăng Thần Công,term
妖气,Demonic Qi,Yêu Khí,term
先天高手,Xiantian Expert,Tiên Thiên Cao Thủ,term
绝代天骄,,Tuyệt Đại Thiên Kiêu,other
戳肛手,,Xúc Cương Thủ,other
铁脚仙,Iron Foot Immortal,Thiết Cước Tiên,other
队徽,Team Badge,Đội Huy,name
飞毛腿,Fleetfoot,Phi Mao Thủ,term
玄铁盾,Black Iron Shield,Huyền Thiết Thuẫn,term
佟易,Tong Yi,Đồng Dịch,name
丁宏,Ding Hong,Đinh Hoành,name
王正晖,Wang Zhenghui,Vương Chính Huy,name
如意楼,Ruyi Tower,Như Ý Lâu,location
沐光阁,Bathed in Light Pavilion,Mộc Quang Các,location
青城派,Qingcheng Sect,Thanh Thành Phái,organization
钟文昊,Zhong Wenhao,Chung Văn Hạo,name
朱芷柔,Zhu Zhirou,Chu Chỉ Nhu,name
太玉真人,Perfected Taiyu,Thái Ngọc Chân Nhân,name
纹银,Silver Tael,Văn Ngân,currency
文,Cash,Văn,currency
缥缈仙子,Ethereal Fairy,Phiêu Miểu Tiên Tử,name
银河联邦星球杯冠军联赛,Galactic Federation Planet Cup Champions League,Giải vô địch Cúp Hành tinh Liên đoàn Thiên hà,other
老张,,Lão Trương,name
打狗棒,Dog Beating Staff,Đả Cẩu Bổng,term
星际大盗,Interstellar Bandit,Tinh Tế Đại Đạo,term
星际掠夺者,Interstellar Predator,Tinh Tế Lược Đoạt Giả,term
四大宗师,Four Great Grandmasters,Tứ Đại Tông Sư,term
第一宇宙速度,First Cosmic Velocity,Vận tốc vũ trụ cấp 1,term
第二宇宙速度,Second Cosmic Velocity,Vận tốc vũ trụ cấp 2,term
环绕速度,Orbital Velocity,Vận tốc quỹ đạo,term
脱离速度,Escape Velocity,Vận tốc thoát ly Trái Đất,term
逃逸速度,Escape Velocity,Vận tốc thoát ly,term
引力,Gravity,Trọng lực,term
缩地成寸,,Súc Địa Thành Thốn,term
一级文明,Level 1 Civilization,Văn Minh Cấp Một,term
四级文明,Level 4 Civilization,Văn Minh Cấp Hai,term
西域,,Tây Vực,location
中原,,Trung Nguyên,location
后天高手,,Hậu Thiên Cao Thủ,term
楚国天师,,Sở Quốc Thiên Sư,other
西域国师,,Tây Vực Quốc Sư,other
青龙堂,,Thanh Long Đường,organization
堂主,Hall Master,Đường Chủ,term
法力,mana,Pháp lực,term
魔力,magic power,Ma lực,term
佛力,buddha power,Phật lực,term
大护法,Great Guardian,Đại hộ pháp,term
乐子人球队,Fun-person team,Lạc Tử Nhân cầu đội,organization
三迭,three folds,Tam điệp,term
四迭,four folds,Tứ điệp,term
五迭,five folds,Ngũ điệp,term
香火,incense,Hương hỏa,term
临空抽射,volley shot,Sút vô-lê,term
贴身盯防,man-to-man marking,Kèm người,term
滑铲,sliding tackle,Hoạt sản,term
二段踢,two-stage kick,Nhị đoạn khiêu,term
国足,national football team,Đội tuyển quốc gia,term
盟主,Alliance Leader,Minh chủ,term
前锋,Striker,Tiền đạo,term
高等文明,Advanced civilization,Văn minh bậc cao,term
丹田,Dantian,Đan điền,term
经脉,Meridians,Kinh mạch,term
剑气,Sword qi,Kiếm khí,term
乐子人俱乐部二队,Leziren Club Second Team,Đội 2 – CLB Lạc Tử Nhân,organization
联赛,League,Giải đấu,term
信仰之力,Power of belief,Sức mạnh niềm tin,term
断腿狂魔,Leg-breaking Demon,Đoạn Thối Cuồng Ma,name
迎面魔,Face-striking Demon,Nghênh Diện Ma,name
三宗五派,Three Sects and Five Schools,Tam Tông Ngũ Phái,organization
养神法,Spirit nourishing method,Dưỡng thần pháp,term
灵智,Sentience,Linh trí,term
地球,Earth,Địa cầu,location
大楚国,Great Chu State,Đại Sở Quốc,location
握手礼,Handshake rite,Nghi thức bắt tay,term
首发,Starting lineup,Thủ phát,term
徽哥,,Huy ca,name
捉妖人使用守则,Demon Catcher Code of Conduct,Quy tắc dành cho Tróc Yêu Nhân,term
宣传部经理,Publicity Department Manager,Trưởng Ban Tuyên Truyền,term
后勤部经理,Logistics Department Manager,Trưởng Ban Hậu Cần,term
安保队长,Security Captain,Đội Trưởng An Ninh,term
442阵型,4-4-2 formation,Đội hình 4-4-2,term
绝代双骄,Peerless Double Prides,Tuyệt Đại Song Kiêu,term
祥云茶庄,,Tường Vân Trà Trang,organization
洪福酒楼,,Hồng Phúc Tửu Lâu,organization
凤鸣轩,,Phượng Minh Hiên,organization
夜魔侠,Daredevil,Daredevil,name
大长老,Great Elder,Đại Trưởng Lão,term
魏明泽,,Ngụy Minh Trạch,name
博翰,,Bác Hàn,name
致远,,Trí Viễn,name
主簿,,Chủ Bạ,term
参军,,Tham Quân,term
知府,,Tri Phủ,term
阴谋论,conspiracy theory,Thuyết âm mưu,term
智囊团,think tank,Đội ngũ cố vấn,organization
足球彩,football lottery,Cá Cược Bóng Đá,term
手球,handball,Chạm tay,term
天惊拳,,Thiên Kinh Quyền,term
神龙摆尾,,Thần Long Bãi Vĩ,term
山竹青,,Sơn Trúc Thanh,other
玄光宗俱乐部,Xuanguangzong Club,Câu Lạc Bộ Huyền Quang Tông,organization
星球杯,Planet Cup,Cúp Hành Tinh,other
啦啦队,cheerleading squad,Đội Cổ Vũ,organization
入局,,Nhập Cục,term
足球手册,football manual,Cẩm Nang Bóng Đá,term
青城俱乐部,Qingcheng Club,Câu Lạc Bộ Thanh Thành,organization
苍松派,Cangsong Sect,Thương Tùng Phái,organization
戒律堂,Discipline Hall,Giới Luật Đường,organization
镇江,Zhenjiang,Trấn Giang,location
抚安,Fu'an,Phủ An,location
项郢,Xiang Ying,Hạng Dĩnh,name
史文博,Shi Wenbo,Sử Văn Bác,name
孔凡,Kong Fan,Khổng Phàm,name
闻人川,Wenren Chuan,Văn Nhân Xuyên,name
申屠虹,Shentu Hong,Thân Đồ Hồng,name
徐川,Xu Chuan,Từ Xuyên,name
万鹏,Wan Peng,Vạn Bằng,name
神龙手,Divine Dragon Hand,Thần Long Thủ,name
慈善足彩,Charity Football Lottery,Dự đoán Bóng đá gây Quỹ Từ thiện,term
足彩,Football Lottery,Cá Cược Bóng Đá,term
甲级联赛,A-League,Giải Hạng Nhất,term
乙级联赛,B-League,Giải Hạng Nhì,term
缠丝手,,Triền Ty Thủ,term
旋风劲,,Toàn Phong Kình,term
如影随形双探手,,Như Ảnh Tùy Hình Song Thám Thủ,term
贴地飞铲,Sliding Tackle,Thiết Địa Phi Sản,term
神之一手,God's Move,Thần Chi Nhất Thủ,term
三门五派,,Tam Môn Ngũ Phái,term
丞相,Chancellor,Thừa tướng,term
徽章,Badge,Huy chương,term
何璋,,Hà Chương,name
赵离,,Triệu Ly,name
沐晨,,Mộc Thần,name
传功堂,Manual Transmission Hall,Truyền Công Đường,organization
魔教,Demonic Cult,Ma giáo,organization
三长老,Third Elder,Tam Trưởng lão,term
左护法,Left Protector,Tả Hộ pháp,term
指挥使,Commander,Chỉ huy sứ,term
痛击我的队友,Beat My Teammates,Bóp team,term
圆桶阵,Bucket Formation,Chiến thuật xe buýt hai tầng,term
护体神功,Body Protection Divine Skill,Hộ Thể Thần Công,term
截脉手,Pulse-Intercepting Hand,Tiệt Mạch Thủ,term
生死符,Life and Death Talisman,Sinh Tử Phù,term
北冥神功,Northern Dark Divine Art,Bắc Minh Thần Công,term
嫁衣神功,Wedding Gown Divine Art,Giá Y Thần Công,term
冯阳,,Phùng Dương,name
足球报,Football News,Báo Bóng Đá,organization
粉丝见面会,Fan Meeting,Fan meeting,term
青训班,Youth Academy,Lò đào tạo trẻ,term
项厉,,Hạng Lệ,name
仙胎魔种,Immortal Fetus and Demonic Seed,Tiên Thai Ma Chủng,term
吞星手,Star-Swallowing Hand,Thôn Tinh Thủ,term
噬魂,Soul Devourer,Phệ Hồn,term
哈迪斯,Hades,Hades,name
死亡之镰,Death Scythe,Lưỡi Hái Tử Thần,term
荆州之乱,Jingzhou Rebellion,Kinh Châu chi loạn,other
时空乱流,Spacetime Turbulence,Thời Không Loạn Lưu,term
神龙教,Divine Dragon Sect,Thần Long Giáo,organization
玄冥海,Xuanming Sea,Huyền Minh Hải,location
联邦警察,Federal Police,Liên Bang Cảnh Sát,organization
龙肝凤胆,Dragon Liver and Phoenix Gallbladder,Long Can Phượng Đảm,term
天庭,Heavenly Court,Thiên Đình,location
独侠,Lone hero,Độc hiệp,term
剑芒,Sword aura,Kiếm mang,term
龙吟声,Dragon's roar,Long ngâm,term
撩阴腿,Groin kick,Liêu âm cước,term
金银,Gold and silver,Kim ngân,currency
灯仙,Lantern Immortal,Đăng Tiên,other
大妖,Great demon,Đại yêu,term
熊帮主,Gang Leader Xiong,Hùng bang chủ,name
刘千户,Chiliarch Liu,Lưu thiên hộ,name
赵千户,Chiliarch Zhao,Triệu thiên hộ,name
黑熊,black bear,gấu đen,other
锦鲤,koi fish,cá chép,other
五迭劲,,Ngũ Điệp Kính,term
客场赛,away match,Trận sân khách,term
左前锋,left forward,Tiền đạo cánh trái,term
主队,home team,Đội chủ nhà,term
主场作战,home match battle,Chủ Trường Tác Chiến,term
老石,,Lão Thạch,name
绸缎庄,silk shop,Tiệm tơ lụa,term
首发阵容,starting lineup,Đội hình xuất phát,term
左右前锋,left and right forwards,Tiền đạo hai cánh,term
大勇,,Đại Dũng,name
李爷,,Lý gia,name
检票,ticket checking,Kiểm Phiếu,term
助拳,,Trợ Quyền,term
竖幅,vertical banner,Liễn đứng,term
秘籍,Secret manual,Bí tịch,term
人头,Human head,Đầu người,term
俘虏,Captive,Tù binh,term
悟性,Comprehension,Ngộ tính,term
竞争机制,Competition mechanism,Cơ chế cạnh tranh,term
分散投资,Diversified investment,Phân tán đầu tư,term
宗师,Grandmaster,Tông sư,term
BUFF,Buff,Buff,term
明星球员,Star player,Cầu thủ ngôi sao,term
大隐隐于市,The greatest hermit hides in the city,Đại ẩn ẩn vu thị,term
足球俱乐部队徽,Football club crest/emblem,Huy hiệu câu lạc bộ bóng đá,term
荣耀,Glory,Vinh quang,term
名誉,Honor,Danh dự,term
分江断山能力,"River-splitting, mountain-severing ability",Năng lực chia sông cắt núi,term
握手言和,Handshake to reconcile,Bắt tay giảng hòa,term
伤处,Wound location,vết thương,term
脚踝骨折,Fractured ankle,trật khớp cổ chân,term
新队友,New teammate,đồng đội mới,term
比神仙还厉害的灵力,Spiritual power more formidable than immortals,Linh lực lợi hại hơn cả thần tiên,term
气运之子,Son of destiny,Khí vận chi tử,term
山洞,Cave,Hang động,location
辟谷,Fasting/Avoiding grains,Tịch cốc,term
精力旺盛,Energetic,Tinh lực dồi dào,term
对抗赛,Exhibition match,Trận đấu đối kháng,term
达摩克利斯之剑,Sword of Damocles,Thanh kiếm Damocles,term
犯规处罚,Foul penalty,Phạt lỗi,term
扩大影响力,Expand influence,Mở rộng ảnh hưởng,term
踢馆,Challenging a school/sect,Đá cửa,term
门派,Sect/School,Môn phái,other
山主,Mountain Master,Sơn chủ,name
家族式的企业,Family-style enterprise,Doanh nghiệp kiểu gia đình,term
后勤,Logistics/Support staff,Hậu cần,term
富贵险中求,Fortune favors the bold,Cầu phú quý trong nguy hiểm,term
神仙,Immortal/God,thần tiên,other
抱上了神仙的大腿,Clung to an immortal's leg,Ôm được đùi thần tiên,term
绰号,Nickname,Biệt danh,term
半步宗师,Half-step Grandmaster,Bán bộ tông sư,term
大弟子,Eldest disciple,Đại đệ tử,name
天材地宝,Heavenly materials and earthly treasures,Thiên tài địa bảo,term
独侠谢越,Lone Hero Xie Yue,Độc Hiệp Tạ Việt,name
千户,Chiliarch (Commander of a thousand households),Thiên hộ,name
钓饵,Bait,Mồi câu,term
擒贼先擒王,"To catch bandits, first catch the king",Bắt giặc trước bắt vua,term
迷失本性,Lose one's true nature,Đánh mất bản tâm,term
妖物的傀儡,Puppet of a monster,Khôi lỗi của yêu vật,term
空间,Space,Không gian,term
时空穿梭的科技,Time-space travel technology,Khoa học kỹ thuật xuyên không gian thời gian,term
吞噬,Devour,nuốt chửng,term
作威作福,Act like a tyrant,Tác oai tác quái,term
公孙掌门,Sect Master Gongsun,Công Tôn chưởng môn,name
宣传部,Propaganda Department,Ban tuyên truyền,organization
应援条幅,Cheering banners,Ứng viện điều phùng,term
洪福茶庄,Hongfu Tea House,Hồng Phúc trà trang,organization
凤鸣轩绸缎庄,Phoenix Cry Pavilion Silk House,Tiệm tơ lụa Phượng Minh Hiên,organization
辣舞,Racy/Hot dance,vũ đạo nóng bỏng,term
贵宾座,VIP seats,Ghế VIP,term
威宁城知府,Prefect of Weining City,Tri phủ thành Uy Ninh,name
圣上,His Majesty,Thánh thượng,name
妖人,Demon person,Yêu nhân,term
顶心肘,Thrusting elbow strike to the chest,Đỉnh Tâm Trửu,term
大儒,,Đại Nho,term
棉衣卫,,Miên Y Vệ,organization
师兄,,Sư huynh,term
前辈,,Tiền bối,term
李掌门,,Lý chưởng môn,name
掌门,,Chưởng môn,term
魏知府,,Ngụy tri phủ,name
邪道,,Tà đạo,term
足球俱乐部徽章,Football Club Crest,huy hiệu câu lạc bộ bóng đá,term
官方,Official,Quan phương,term
赌坊,Gambling House,Đổ phường,organization
庄家,Bookmaker,Trang gia,term
足彩发行细则,Football Lottery Issuance Regulations,Quy chế Phát hành Cá cược Bóng đá,term
圣人,Emperor,Thánh Nhân,term
国之重器,,bảo vật trấn quốc,term
天师,,Thiên sư,other
邪教,Cult,Tà giáo,organization
副指挥使,,Phó chỉ huy sứ,term
李强,,Lý Cường,name
双龙探海,,Song Long Thám Hải,term
慕容宗师,,Mộ Dung Tông Sư,name
势,,Thế,term
护法,,Hộ Pháp,other
长老,,Trưởng Lão,other
保安队长,,Bảo An Đội Trưởng,other
天龙八部,,Thiên Long Bát Bộ,other
钟良,,Chung Lương,name
胡秀才,,Hồ Tú Tài,name
玄衣卫,,Huyền Y Vệ,organization
足球联盟,Football Union,Liên đoàn bóng đá,organization
天师府,,Thiên Sư Phủ,organization
灵力种子,,Linh lực chủng tử,term
魔气,,Ma khí,term
魔物,,Ma vật,term
妖龙,,Yêu long,term
碳基文明,Carbon-based civilization,Văn minh gốc cacbon,term
硅基文明,Silicon-based civilization,Văn minh gốc silic,term
虫族,Zerg,Trùng tộc,term
虫族母皇,Broodmother,Trùng tộc Mẫu hoàng,term
工虫,Drone,Công trùng,term
兵虫,Soldier bug,Binh trùng,term
尖嚣者,,Tiêm Khiêu Giả,term
电子跃迁,Electronic transition,Nhảy vọt điện tử,term
夺舍,Possession,đoạt xá,term
三等文明,,Văn minh cấp ba,term
印花坊,,Ấn hoa phường,other
成衣坊,,Thành y phường,other
京城,Capital City,Kinh Thành,location
太子府,Crown Prince's Residence,Thái Tử Phủ,location
京畿营,Metropolitan Garrison,Kinh Kỳ Doanh,organization
高塘,,Cao Đường,location
玉华,,Ngọc Hoa,location
丰州,,Phong Châu,location
瀛洲,Yingzhou,Doanh Châu,location
荆州,Jingzhou,Kinh Châu,location
皇家足球俱乐部,Royal Football Club,Câu lạc bộ bóng đá Hoàng gia,organization
不愈之伤,Unhealing Wound,Bất Dũ Chi Thương,term
拖人下水,Drag others down,Kéo Ngươi Xuống Nước,term
录儿,,Lục Nhi,name
皇宫,,Hoàng Cung,location
皇家俱乐部,,Câu lạc bộ Hoàng gia,organization
天狼谷足球联盟,,Liên minh Bóng đá Thiên Lang Cốc,organization
丙级联赛,C-League,Giải hạng Ba,term
青少年联赛,Youth League,Giải thiếu niên,term
队友祭天，法力无边,"Sacrificing teammates to heaven, boundless magic power","Đội Hữu Tế Thiên, Pháp Lực Vô Biên",term
铁线虫,Horsehair worm,Thiết Tuyến Trùng,term
